URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.103.11.2--20111012000000,1.3.15,active,,JournaalregelType,JournaalregelType,"Type of the SOAP encoded journal entry","StructureDefinition/gp-JournalEntry,StructureDefinition/gp-EncounterReport","Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.103.11.3--20110902000000,1.3.15,active,,NHGTable14v7-ContactType,NHG tabel 14v7 - ContactType,"Type of encounter. Note: Historically, these codes have a leading zero, whereas these are omitted in the [NHG Reference Model](https://referentiemodel.nhg.org/tabellen/inkijkexemplaren).","StructureDefinition/gp-Encounter","hl7.fhir.r3.core,Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.20.77.11.19--20160617101300,1.3.15,active,,Stoptype,Stoptype,"Stoptype",,"Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.20.77.11.21--20181218104051,1.3.15,active,,RedenMedicatieafspraak,Reden wijzigen of staken,"Reden wijzigen of staken",,"SCT,hl7.fhir.r3.core,Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.20.77.11.27--20160830202453,1.3.15,active,,GstdTabel902,G-Standaard Eenhedentabel,"G-Standaard Eenhedentabel",,"Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.20.77.11.37--20181218104254,1.3.15,active,,RedenWijzStakenMedicatiegebruik,Reden wijzigen of staken medicatiegebruik,"Reden wijzigen of staken",,"SCT,hl7.fhir.r3.core,Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.20.77.11.9--20160407000000,1.3.15,active,,AanvullendeGebruiksinstructie,Aanvullende gebruiksinstructie,"WCIAv3 Tabel 25 B-codes subset voor aanvullende gebruiksinstructies",,"hl7.fhir.r3.core,Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.0.1.1--20171231000000,1.3.15,active,,GeslachtCodelijst,GeslachtCodelijst,"GeslachtCodelijst","ConceptMap/GeslachtCodelijst-to-AdministrativeGender,StructureDefinition/nl-core-patient","hl7.fhir.r3.core"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.1.1.1--20171231000000,1.3.15,active,,VerzekeringssoortCodelijst,VerzekeringssoortCodelijst,"VerzekeringssoortCodelijst","StructureDefinition/zib-Payer","Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.10.1.1--20171231000000,1.3.15,active,,ProductTypeCodelijst,ProductTypeCodelijst,"SNOMED CT - Alle waarden","StructureDefinition/zib-MedicalDeviceRequest,StructureDefinition/zib-MedicalDeviceProduct","SCT"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.10.1.2--20171231000000,1.3.15,active,,HulpmiddelAnatomischeLocatieCodelijst,HulpmiddelAnatomischeLocatieCodelijst,"SNOMED CT - SNOMED CT: < 442083009 |Anatomical or acquired body structure|","StructureDefinition/zib-MedicalDevice","SCT"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.10.1.4--20171231000000,1.3.15,active,,MedischHulpmiddelLateraliteitCodelijst,MedischHulpmiddelLateraliteitCodelijst,"MedischHulpmiddelLateraliteitCodelijst","StructureDefinition/zib-MedicalDevice","SCT"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.10.2.1--20171231000000,1.3.15,active,,InfuuskatheterTypeCodelijst,InfuuskatheterTypeCodelijst,"InfuuskatheterTypeCodelijst",,"SCT,hl7.fhir.r3.core"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.10.2.2--20171231000000,1.3.15,active,,LumenLocatieCodelijst,LumenLocatieCodelijst,"LumenLocatieCodelijst",,"SCT"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.10.2.3--20171231000000,1.3.15,active,,LijnStatusCodelijst,LijnStatusCodelijst,"LijnStatusCodelijst",,"hl7.fhir.r3.core,Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.10.3.1--20171231000000,1.3.15,active,,SondeTypeCodelijst,SondeTypeCodelijst,"SondeTypeCodelijst","StructureDefinition/zib-FeedingTubeSystem-Product","SCT,hl7.fhir.r3.core"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.11.1.1--20171231000000,1.3.15,active,,ProductCodePRKCodelijst,ProductCodePRKCodelijst,"G-Standaard Voorschrijfproducten (PRK) - Alle waarden","StructureDefinition/zib-Vaccination,StructureDefinition/zib-VaccinationRecommendation","Other"
http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.11.1.2--20171231000000,1.3.15,active,,ProductCodeHPKCodelijst,ProductCodeHPKCodelijst,"G-Standaard Handels Product Kode (HPK) - Alle waarden","StructureDefinition/zib-Vaccination,StructureDefinition/zib-VaccinationRecommendation","Other"
